t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff
84,87,240102_30C_fig_SW182_01,32,33,gcn,31,1,1024,0,0.9990530303030303,0.9841269841269841,15
100,103,240102_30C_fig_SW182_01,37,37,gcn,37,0,1332,0,1.0,1.0,15
32,36,240102_30C_fig_SX387_03,13,15,gcn,11,2,182,0,0.9897435897435898,0.9166666666666666,20
75,77,240102_30C_fig_SX387_03,30,34,gcn,26,4,990,0,0.996078431372549,0.9285714285714286,10
102,104,240102_30C_fig_SW182_01,37,37,gcn,37,0,1332,0,1.0,1.0,10
5,6,240102_30C_fig_SX387_03,10,12,gcn,8,1,111,0,0.9916666666666667,0.9411764705882353,5
27,31,240102_30C_fig_SW182_01,12,12,gcn,12,0,132,0,1.0,1.0,20
13,17,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,20
32,34,240102_30C_fig_SW182_01,12,14,gcn,10,2,156,0,0.9880952380952381,0.9090909090909091,10
12,14,240102_30C_fig_SW182_01,8,9,gcn,7,1,64,0,0.9861111111111112,0.9333333333333333,10
56,58,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,10
7,10,240102_30C_fig_SX387_01,11,13,gcn,9,2,132,0,0.986013986013986,0.9,15
92,95,240102_30C_fig_SW182_01,35,36,gcn,34,1,1225,0,0.9992063492063492,0.9855072463768116,15
67,71,240102_30C_fig_SX387_01,40,40,gcn,40,0,1560,0,1.0,1.0,20
81,82,240102_30C_fig_SX387_05,9,9,gcn,9,0,72,0,1.0,1.0,5
108,111,240102_30C_fig_SX387_03,49,51,gcn,47,0,2452,0,1.0,1.0,15
53,55,240102_30C_fig_SX387_03,24,24,gcn,24,0,552,0,1.0,1.0,10
104,108,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,20
3,5,240102_30C_fig_SX387_03,8,10,gcn,6,1,73,0,0.9875,0.9230769230769231,10
60,63,240102_30C_fig_SX387_01,37,39,gcn,35,0,1408,0,1.0,1.0,15
55,58,240102_30C_fig_SX387_01,36,36,gcn,36,0,1260,0,1.0,1.0,15
114,118,240102_30C_fig_SW182_01,44,51,gcn,37,5,2202,0,0.9977718360071302,0.9367088607594937,20
113,116,240102_30C_fig_SW182_01,44,46,gcn,42,2,1980,0,0.9990118577075099,0.9767441860465116,15
55,59,240102_30C_fig_SX387_01,36,37,gcn,35,0,1297,0,1.0,1.0,20
22,23,240102_30C_fig_SX387_03,12,12,gcn,12,0,132,0,1.0,1.0,5
114,117,240102_30C_fig_SW182_01,44,47,gcn,41,3,2024,0,0.9985493230174082,0.9647058823529412,15
52,54,240102_30C_fig_SX387_03,24,24,gcn,24,0,552,0,1.0,1.0,10
78,82,240102_30C_fig_SW182_01,28,31,gcn,25,3,840,0,0.9965437788018433,0.9433962264150944,20
125,128,240102_30C_fig_SW182_01,54,57,gcn,51,3,3024,0,0.9990253411306043,0.9714285714285714,15
6,10,240102_30C_fig_SX387_01,10,13,gcn,7,3,120,0,0.9769230769230769,0.8235294117647058,20
108,109,240102_30C_fig_SX387_03,49,51,gcn,47,0,2452,0,1.0,1.0,5
85,86,240102_30C_fig_SX387_05,13,14,gcn,12,1,169,0,0.9945054945054945,0.96,5
68,70,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,10
53,54,240102_30C_fig_SW182_01,17,17,gcn,17,0,272,0,1.0,1.0,5
78,82,240102_30C_fig_SX387_03,35,40,gcn,28,6,1364,2,0.9942857142857143,0.875,20
30,33,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,15
38,42,240102_30C_fig_SX387_01,19,25,gcn,13,4,458,0,0.991578947368421,0.8666666666666667,20
50,53,240102_30C_fig_SX387_01,34,36,gcn,29,4,1188,3,0.994281045751634,0.8923076923076924,15
101,105,240102_30C_fig_SX387_05,16,16,gcn,16,0,240,0,1.0,1.0,20
119,120,240102_30C_fig_SW182_01,52,53,gcn,51,1,2704,0,0.9996371552975326,0.9902912621359223,5
65,68,240102_30C_fig_SX387_05,8,8,gcn,8,0,56,0,1.0,1.0,15
112,116,240102_30C_fig_SW182_01,44,46,gcn,42,2,1980,0,0.9990118577075099,0.9767441860465116,20
52,54,240102_30C_fig_SW182_01,17,17,gcn,17,0,272,0,1.0,1.0,10
69,71,240102_30C_fig_SX387_03,24,27,gcn,22,1,625,0,0.9984567901234568,0.9777777777777777,10
72,76,240102_30C_fig_SW182_01,25,28,gcn,22,3,675,0,0.9957142857142857,0.9361702127659575,20
99,102,240102_30C_fig_SW182_01,37,37,gcn,37,0,1332,0,1.0,1.0,15
38,40,240102_30C_fig_SX387_01,19,21,gcn,17,2,380,0,0.9949874686716792,0.9444444444444444,10
34,37,240102_30C_fig_SX387_05,4,4,gcn,4,0,12,0,1.0,1.0,15
132,133,240102_30C_fig_SW182_01,61,61,gcn,61,0,3660,0,1.0,1.0,5
52,55,240102_30C_fig_SW182_01,17,17,gcn,17,0,272,0,1.0,1.0,15
100,101,240102_30C_fig_SW182_01,37,37,gcn,37,0,1332,0,1.0,1.0,5
