timediff,colony,seed,assgraphs,f1,tp,fp,fn,tn,num_cells1,num_cells2,precision,recall
5,test_set_1,2,geometrical_and_fourier,1.0,1123,0,0,21133,1123,1136,1.0,1.0
5,test_set_1,2,fourier_descriptor,1.0,1123,0,0,21133,1123,1136,1.0,1.0
5,test_set_2,0,geometrical_features_only,1.0,138,0,0,554,138,140,1.0,1.0
5,test_set_2,0,geometrical_and_fourier,1.0,138,0,0,554,138,140,1.0,1.0
5,test_set_2,0,fourier_descriptor,1.0,138,0,0,554,138,140,1.0,1.0
5,test_set_2,1,geometrical_features_only,1.0,138,0,0,554,138,140,1.0,1.0
5,test_set_2,1,geometrical_and_fourier,1.0,138,0,0,554,138,140,1.0,1.0
5,test_set_2,1,fourier_descriptor,1.0,138,0,0,554,138,140,1.0,1.0
5,test_set_2,2,geometrical_features_only,1.0,138,0,0,554,138,140,1.0,1.0
5,test_set_2,2,geometrical_and_fourier,1.0,138,0,0,554,138,140,1.0,1.0
5,test_set_2,2,fourier_descriptor,1.0,138,0,0,554,138,140,1.0,1.0
5,test_set_3,0,geometrical_features_only,0.9971738106453132,2117,6,6,240441,2123,2156,0.9971738106453132,0.9971738106453132
5,test_set_3,0,geometrical_and_fourier,0.99576071596797,2114,9,9,240438,2123,2156,0.99576071596797,0.99576071596797
5,test_set_3,0,fourier_descriptor,0.9952896844088552,2113,10,10,240437,2123,2156,0.9952896844088552,0.9952896844088552
5,test_set_3,1,geometrical_features_only,0.99576071596797,2114,9,9,240438,2123,2156,0.99576071596797,0.99576071596797
5,test_set_3,1,geometrical_and_fourier,0.9948186528497408,2112,11,11,240436,2123,2156,0.9948186528497408,0.9948186528497408
5,test_set_3,1,fourier_descriptor,0.9981158737635422,2119,4,4,240443,2123,2156,0.9981158737635422,0.9981158737635422
5,test_set_3,2,geometrical_features_only,0.9967027790861988,2116,7,7,240440,2123,2156,0.9967027790861988,0.9967027790861988
5,test_set_3,2,geometrical_and_fourier,0.9919924634950542,2106,17,17,240430,2123,2156,0.9919924634950542,0.9919924634950542
5,test_set_3,2,fourier_descriptor,0.9971738106453132,2117,6,6,240441,2123,2156,0.9971738106453132,0.9971738106453132
5,test_set_4,0,geometrical_features_only,0.9743933503150556,3634,99,92,752259,3740,3802,0.9734797749799088,0.9753086419753086
5,test_set_4,0,geometrical_and_fourier,0.9604504625284892,3582,151,144,752207,3740,3802,0.9595499598178407,0.961352657004831
5,test_set_4,0,fourier_descriptor,0.9851186486124144,3674,59,52,752299,3740,3802,0.984195017412269,0.9860440150295224
5,test_set_4,1,geometrical_features_only,0.9569647405818474,3569,164,157,752194,3740,3802,0.9560675060273238,0.9578636607622116
5,test_set_4,1,geometrical_and_fourier,0.9403405282209412,3507,226,219,752132,3740,3802,0.9394588802571658,0.9412238325281804
5,test_set_4,1,fourier_descriptor,0.9786834696339992,3650,83,76,752275,3740,3802,0.9777658719528528,0.979602791196994
5,test_set_4,2,geometrical_features_only,0.9749296152299236,3636,97,90,752261,3740,3802,0.9740155371015268,0.9758454106280192
5,test_set_4,2,geometrical_and_fourier,0.9188899316262232,3427,306,299,752052,3740,3802,0.9180283953924456,0.9197530864197532
5,test_set_4,2,fourier_descriptor,0.9692988336238102,3615,118,111,752240,3740,3802,0.968390034824538,0.9702093397745571
5,test_set_5,0,geometrical_features_only,0.9983397897066962,2706,9,0,391915,2724,2744,0.9966850828729282,1.0
5,test_set_5,0,geometrical_and_fourier,0.9950193691200886,2697,18,9,391906,2724,2744,0.9933701657458563,0.9966740576496674
5,test_set_5,0,fourier_descriptor,0.997970854085962,2705,10,1,391914,2724,2744,0.996316758747698,0.999630450849963
5,test_set_5,1,geometrical_features_only,0.993912562257886,2694,21,12,391903,2724,2744,0.9922651933701656,0.9955654101995566
5,test_set_5,1,geometrical_and_fourier,0.9909610772920124,2686,29,20,391895,2724,2744,0.989318600368324,0.9926090169992609
5,test_set_5,1,fourier_descriptor,0.997970854085962,2705,10,1,391914,2724,2744,0.996316758747698,0.999630450849963
5,test_set_5,2,geometrical_features_only,0.9983397897066962,2706,9,0,391915,2724,2744,0.9966850828729282,1.0
5,test_set_5,2,geometrical_and_fourier,0.9832134292565948,2665,50,41,391874,2724,2744,0.98158379373849,0.9848484848484848
5,test_set_5,2,fourier_descriptor,0.9968640472237594,2702,13,4,391911,2724,2744,0.9952117863720074,0.9985218033998522
