,index,t1,t2,colony,num_cells1,num_cells2,method,tp,fp,tn,fn,acc,f1,timediff,assgraphs,seed
89,89,78,79,colony000,50,52,gcn,50,0,2550,0,1.0,1.0,5,geometrical_features_only,0
90,90,39,41,colony005,7,7,gcn,7,0,42,0,1.0,1.0,10,geometrical_features_only,0
91,91,66,68,colony006,43,47,gcn,42,1,1977,1,0.9990103908955964,0.9767441860465116,10,geometrical_features_only,0
92,92,1,2,colony005,2,2,gcn,2,0,2,0,1.0,1.0,5,geometrical_features_only,0
93,93,95,99,colony006,123,144,gcn,119,4,17585,4,0.9995483288166216,0.967479674796748,20,geometrical_features_only,0
94,94,8,9,colony005,3,3,gcn,3,0,6,0,1.0,1.0,5,geometrical_features_only,0
95,95,31,35,colony005,5,6,gcn,5,0,25,0,1.0,1.0,20,geometrical_features_only,0
96,96,36,39,colony000,13,14,gcn,13,0,169,0,1.0,1.0,15,geometrical_features_only,0
97,97,147,150,colony005,26,27,gcn,26,0,676,0,1.0,1.0,15,geometrical_features_only,0
98,98,31,34,colony006,11,12,gcn,11,0,121,0,1.0,1.0,15,geometrical_features_only,0
99,99,64,68,colony005,9,9,gcn,9,0,72,0,1.0,1.0,20,geometrical_features_only,0
100,100,95,99,colony005,12,12,gcn,12,0,132,0,1.0,1.0,20,geometrical_features_only,0
101,101,94,97,colony006,120,131,gcn,115,5,15595,5,0.9993638676844784,0.9583333333333334,15,geometrical_features_only,0
102,102,69,72,colony006,47,50,gcn,47,0,2303,0,1.0,1.0,15,geometrical_features_only,0
103,103,38,41,colony006,14,17,gcn,14,0,224,0,1.0,1.0,15,geometrical_features_only,0
104,104,61,65,colony000,26,31,gcn,26,0,780,0,1.0,1.0,20,geometrical_features_only,0
105,105,74,78,colony000,44,50,gcn,43,1,2156,0,0.9995454545454544,0.9885057471264368,20,geometrical_features_only,0
106,106,83,87,colony005,10,10,gcn,10,0,90,0,1.0,1.0,20,geometrical_features_only,0
107,107,66,68,colony000,33,35,gcn,33,0,1122,0,1.0,1.0,10,geometrical_features_only,0
108,108,42,44,colony000,14,14,gcn,14,0,182,0,1.0,1.0,10,geometrical_features_only,0
109,109,138,141,colony005,23,24,gcn,23,0,529,0,1.0,1.0,15,geometrical_features_only,0
110,110,96,98,colony006,127,137,gcn,127,0,17272,0,1.0,1.0,10,geometrical_features_only,0
111,111,82,84,colony000,55,60,gcn,54,1,3244,1,0.9993939393939394,0.9818181818181818,10,geometrical_features_only,0
112,112,32,34,colony000,10,12,gcn,9,1,109,1,0.9833333333333332,0.9,10,geometrical_features_only,0
113,113,79,81,colony005,10,10,gcn,10,0,90,0,1.0,1.0,10,geometrical_features_only,0
114,114,29,32,colony005,4,5,gcn,4,0,16,0,1.0,1.0,15,geometrical_features_only,0
115,115,18,19,colony006,7,7,gcn,7,0,42,0,1.0,1.0,5,geometrical_features_only,0
116,116,52,55,colony006,26,28,gcn,26,0,702,0,1.0,1.0,15,geometrical_features_only,0
117,117,25,28,colony005,4,4,gcn,4,0,12,0,1.0,1.0,15,geometrical_features_only,0
118,118,90,94,colony006,102,120,gcn,101,1,12137,1,0.9998366013071897,0.9901960784313726,20,geometrical_features_only,0
119,119,44,45,colony006,17,17,gcn,17,0,272,0,1.0,1.0,5,geometrical_features_only,0
120,120,114,118,colony005,15,18,gcn,14,1,254,1,0.9925925925925926,0.9333333333333332,20,geometrical_features_only,0
121,121,8,11,colony000,4,4,gcn,4,0,12,0,1.0,1.0,15,geometrical_features_only,0
122,122,19,22,colony006,7,8,gcn,7,0,49,0,1.0,1.0,15,geometrical_features_only,0
123,123,38,41,colony000,14,14,gcn,14,0,182,0,1.0,1.0,15,geometrical_features_only,0
124,124,37,40,colony005,6,7,gcn,6,0,36,0,1.0,1.0,15,geometrical_features_only,0
125,125,84,88,colony006,81,91,gcn,81,0,7290,0,1.0,1.0,20,geometrical_features_only,0
126,126,23,25,colony006,9,9,gcn,9,0,72,0,1.0,1.0,10,geometrical_features_only,0
127,127,3,5,colony006,3,3,gcn,3,0,6,0,1.0,1.0,10,geometrical_features_only,0
128,128,95,96,colony006,123,127,gcn,123,0,15498,0,1.0,1.0,5,geometrical_features_only,0
129,129,45,48,colony006,17,20,gcn,16,1,322,1,0.9941176470588236,0.9411764705882352,15,geometrical_features_only,0
130,130,28,29,colony000,8,8,gcn,8,0,56,0,1.0,1.0,5,geometrical_features_only,0
131,131,33,37,colony000,12,13,gcn,12,0,144,0,1.0,1.0,20,geometrical_features_only,0
132,132,73,75,colony006,52,57,gcn,52,0,2912,0,1.0,1.0,10,geometrical_features_only,0
133,133,58,59,colony005,8,8,gcn,8,0,56,0,1.0,1.0,5,geometrical_features_only,0
134,134,62,63,colony005,8,9,gcn,8,0,64,0,1.0,1.0,5,geometrical_features_only,0
135,135,119,121,colony000,168,176,gcn,166,2,29398,2,0.9998647186147186,0.988095238095238,10,geometrical_features_only,0
136,136,4,6,colony000,4,4,gcn,4,0,12,0,1.0,1.0,10,geometrical_features_only,0
137,137,100,101,colony005,13,14,gcn,13,0,169,0,1.0,1.0,5,geometrical_features_only,0
138,138,44,46,colony006,17,18,gcn,17,0,289,0,1.0,1.0,10,geometrical_features_only,0
139,139,76,80,colony005,10,10,gcn,10,0,90,0,1.0,1.0,20,geometrical_features_only,0
140,140,134,136,colony000,257,274,gcn,253,4,70158,3,0.9999005935982276,0.98635477582846,10,geometrical_features_only,0
141,141,19,23,colony005,3,4,gcn,3,0,9,0,1.0,1.0,20,geometrical_features_only,0
142,142,51,53,colony006,25,26,gcn,25,0,625,0,1.0,1.0,10,geometrical_features_only,0
143,143,115,118,colony006,267,310,gcn,257,10,82493,10,0.9997583665579316,0.9625468164794008,15,geometrical_features_only,0
144,144,20,23,colony005,3,4,gcn,3,0,9,0,1.0,1.0,15,geometrical_features_only,0
145,145,101,104,colony006,157,177,gcn,154,3,27629,3,0.9997840872287596,0.9808917197452228,15,geometrical_features_only,0
146,146,61,64,colony005,8,9,gcn,8,0,64,0,1.0,1.0,15,geometrical_features_only,0
147,147,22,25,colony005,3,4,gcn,3,0,9,0,1.0,1.0,15,geometrical_features_only,0
148,148,61,65,colony005,8,9,gcn,8,0,64,0,1.0,1.0,20,geometrical_features_only,0
149,149,82,84,colony005,10,10,gcn,10,0,90,0,1.0,1.0,10,geometrical_features_only,0
150,150,8,10,colony005,3,3,gcn,3,0,6,0,1.0,1.0,10,geometrical_features_only,0
151,151,3,6,colony000,4,4,gcn,4,0,12,0,1.0,1.0,15,geometrical_features_only,0
152,152,42,46,colony006,17,18,gcn,17,0,289,0,1.0,1.0,20,geometrical_features_only,0
153,153,117,118,colony006,294,310,gcn,292,2,90844,2,0.9999561114768488,0.9931972789115646,5,geometrical_features_only,0
154,154,16,19,colony005,3,3,gcn,3,0,6,0,1.0,1.0,15,geometrical_features_only,0
155,155,131,134,colony000,236,257,gcn,235,1,60416,0,0.9999835124975268,0.9978768577494692,15,geometrical_features_only,0
156,156,104,106,colony000,107,117,gcn,107,0,12412,0,1.0,1.0,10,geometrical_features_only,0
157,157,125,126,colony000,199,202,gcn,199,0,39999,0,1.0,1.0,5,geometrical_features_only,0
158,158,172,175,colony005,36,37,gcn,36,0,1296,0,1.0,1.0,15,geometrical_features_only,0
159,159,107,110,colony000,121,126,gcn,117,4,15121,4,0.999475272202545,0.9669421487603306,15,geometrical_features_only,0
160,160,24,28,colony000,8,8,gcn,8,0,56,0,1.0,1.0,20,geometrical_features_only,0
161,161,122,124,colony000,185,197,gcn,181,4,36257,3,0.9998079297571684,0.981029810298103,10,geometrical_features_only,0
162,162,50,54,colony005,8,8,gcn,8,0,56,0,1.0,1.0,20,geometrical_features_only,0
163,163,54,57,colony000,22,23,gcn,22,0,484,0,1.0,1.0,15,geometrical_features_only,0
164,164,15,17,colony000,4,4,gcn,4,0,12,0,1.0,1.0,10,geometrical_features_only,0
165,165,168,170,colony005,35,36,gcn,35,0,1225,0,1.0,1.0,10,geometrical_features_only,0
166,166,166,167,colony005,35,35,gcn,35,0,1190,0,1.0,1.0,5,geometrical_features_only,0
167,167,146,148,colony005,24,26,gcn,24,0,600,0,1.0,1.0,10,geometrical_features_only,0
168,168,26,28,colony005,4,4,gcn,4,0,12,0,1.0,1.0,10,geometrical_features_only,0
169,169,1,2,colony006,3,3,gcn,3,0,6,0,1.0,1.0,5,geometrical_features_only,0
170,170,36,37,colony005,6,6,gcn,6,0,30,0,1.0,1.0,5,geometrical_features_only,0
171,171,61,65,colony006,35,42,gcn,35,0,1435,0,1.0,1.0,20,geometrical_features_only,0
172,172,49,50,colony006,22,23,gcn,22,0,484,0,1.0,1.0,5,geometrical_features_only,0
173,173,18,21,colony006,7,8,gcn,7,0,49,0,1.0,1.0,15,geometrical_features_only,0
174,174,111,114,colony000,131,143,gcn,128,3,18599,3,0.9996797096033736,0.9770992366412212,15,geometrical_features_only,0
175,175,67,71,colony005,9,9,gcn,9,0,72,0,1.0,1.0,20,geometrical_features_only,0
176,176,9,10,colony000,4,4,gcn,4,0,12,0,1.0,1.0,5,geometrical_features_only,0
177,177,118,120,colony005,18,19,gcn,18,0,324,0,1.0,1.0,10,geometrical_features_only,0
178,178,10,12,colony005,3,3,gcn,3,0,6,0,1.0,1.0,10,geometrical_features_only,0
179,179,106,108,colony000,117,122,gcn,116,1,14156,1,0.9998598851057868,0.9914529914529916,10,geometrical_features_only,0
180,180,147,148,colony005,26,26,gcn,26,0,650,0,1.0,1.0,5,geometrical_features_only,0
181,181,65,69,colony005,9,9,gcn,9,0,72,0,1.0,1.0,20,geometrical_features_only,0
182,182,18,20,colony005,3,3,gcn,3,0,6,0,1.0,1.0,10,geometrical_features_only,0
183,183,50,52,colony006,23,26,gcn,22,1,574,1,0.9966555183946488,0.9565217391304348,10,geometrical_features_only,0
184,184,178,180,colony005,38,38,gcn,38,0,1406,0,1.0,1.0,10,geometrical_features_only,0
185,185,18,19,colony005,3,3,gcn,3,0,6,0,1.0,1.0,5,geometrical_features_only,0
186,186,155,158,colony005,29,30,gcn,28,1,840,1,0.9977011494252872,0.9655172413793104,15,geometrical_features_only,0
187,187,50,53,colony005,8,8,gcn,8,0,56,0,1.0,1.0,15,geometrical_features_only,0
188,188,0,2,colony005,2,2,gcn,2,0,2,0,1.0,1.0,10,geometrical_features_only,0
189,189,133,135,colony000,250,267,gcn,247,3,66498,2,0.9999250936329588,0.9899799599198396,10,geometrical_features_only,0
190,190,103,104,colony005,14,14,gcn,14,0,182,0,1.0,1.0,5,geometrical_features_only,0
191,191,109,112,colony000,125,133,gcn,122,3,16497,3,0.9996390977443608,0.976,15,geometrical_features_only,0
192,192,98,99,colony000,94,95,gcn,94,0,8836,0,1.0,1.0,5,geometrical_features_only,0
193,193,104,108,colony006,177,204,gcn,160,17,35914,17,0.9990583804143126,0.903954802259887,20,geometrical_features_only,0
194,194,121,124,colony000,176,197,gcn,169,7,34490,6,0.9996250576834332,0.9629629629629628,15,geometrical_features_only,0
195,195,9,12,colony000,4,4,gcn,4,0,12,0,1.0,1.0,15,geometrical_features_only,0
196,196,124,127,colony005,21,22,gcn,21,0,441,0,1.0,1.0,15,geometrical_features_only,0
197,197,83,85,colony005,10,10,gcn,10,0,90,0,1.0,1.0,10,geometrical_features_only,0
198,198,98,101,colony005,12,14,gcn,12,0,156,0,1.0,1.0,15,geometrical_features_only,0
199,199,15,19,colony000,4,6,gcn,4,0,20,0,1.0,1.0,20,geometrical_features_only,0
200,200,137,139,colony000,282,297,gcn,282,0,83472,0,1.0,1.0,10,geometrical_features_only,0
201,201,73,74,colony000,41,44,gcn,41,0,1763,0,1.0,1.0,5,geometrical_features_only,0
202,202,67,71,colony006,43,49,gcn,40,3,2061,3,0.9971523493118176,0.9302325581395348,20,geometrical_features_only,0
203,203,120,124,colony000,173,197,gcn,166,7,33902,6,0.9996185557935506,0.9623188405797102,20,geometrical_features_only,0
204,204,28,32,colony005,4,5,gcn,4,0,16,0,1.0,1.0,20,geometrical_features_only,0
205,205,31,32,colony006,11,11,gcn,11,0,110,0,1.0,1.0,5,geometrical_features_only,0
206,206,16,20,colony006,6,7,gcn,6,0,36,0,1.0,1.0,20,geometrical_features_only,0
207,207,93,95,colony006,116,123,gcn,116,0,14152,0,1.0,1.0,10,geometrical_features_only,0
208,208,108,109,colony005,14,14,gcn,14,0,182,0,1.0,1.0,5,geometrical_features_only,0
209,209,107,110,colony006,200,218,gcn,198,2,43398,2,0.999908256880734,0.99,15,geometrical_features_only,0
210,210,66,69,colony006,43,47,gcn,41,2,1976,2,0.9980207817911924,0.9534883720930232,15,geometrical_features_only,0
211,211,63,67,colony000,29,33,gcn,29,0,928,0,1.0,1.0,20,geometrical_features_only,0
212,212,41,44,colony005,7,7,gcn,7,0,42,0,1.0,1.0,15,geometrical_features_only,0
213,213,68,72,colony000,35,40,gcn,35,0,1365,0,1.0,1.0,20,geometrical_features_only,0
214,214,32,33,colony000,10,12,gcn,9,1,109,1,0.9833333333333332,0.9,5,geometrical_features_only,0
215,215,105,108,colony000,108,122,gcn,106,2,13066,2,0.9996964177292046,0.9814814814814816,15,geometrical_features_only,0
216,216,108,110,colony000,122,126,gcn,119,3,15247,3,0.9996096799375488,0.9754098360655736,10,geometrical_features_only,0
217,217,171,173,colony005,36,36,gcn,36,0,1260,0,1.0,1.0,10,geometrical_features_only,0
218,218,170,174,colony005,36,36,gcn,36,0,1260,0,1.0,1.0,20,geometrical_features_only,0
219,219,51,53,colony005,8,8,gcn,8,0,56,0,1.0,1.0,10,geometrical_features_only,0
220,220,59,61,colony006,32,35,gcn,32,0,1088,0,1.0,1.0,10,geometrical_features_only,0
221,221,114,115,colony006,262,267,gcn,262,0,69692,0,1.0,1.0,5,geometrical_features_only,0
222,222,159,162,colony005,31,33,gcn,31,0,992,0,1.0,1.0,15,geometrical_features_only,0
223,223,154,157,colony005,28,29,gcn,28,0,784,0,1.0,1.0,15,geometrical_features_only,0
224,224,2,3,colony005,2,3,gcn,2,0,4,0,1.0,1.0,5,geometrical_features_only,0
225,225,5,8,colony006,3,5,gcn,3,0,12,0,1.0,1.0,15,geometrical_features_only,0
226,226,121,122,colony005,21,21,gcn,21,0,420,0,1.0,1.0,5,geometrical_features_only,0
227,227,97,98,colony006,131,137,gcn,131,0,17816,0,1.0,1.0,5,geometrical_features_only,0
228,228,25,29,colony006,9,10,gcn,9,0,81,0,1.0,1.0,20,geometrical_features_only,0
229,229,111,114,colony005,14,15,gcn,14,0,196,0,1.0,1.0,15,geometrical_features_only,0
230,230,63,64,colony000,29,30,gcn,29,0,841,0,1.0,1.0,5,geometrical_features_only,0
231,231,124,126,colony000,197,202,gcn,195,2,39595,2,0.9998994823340202,0.9898477157360406,10,geometrical_features_only,0
232,232,55,56,colony000,23,23,gcn,23,0,506,0,1.0,1.0,5,geometrical_features_only,0
233,233,15,19,colony005,3,3,gcn,3,0,6,0,1.0,1.0,20,geometrical_features_only,0
234,234,165,169,colony005,34,36,gcn,34,0,1190,0,1.0,1.0,20,geometrical_features_only,0
235,235,123,126,colony005,21,21,gcn,21,0,420,0,1.0,1.0,15,geometrical_features_only,0
236,236,96,98,colony005,12,12,gcn,12,0,132,0,1.0,1.0,10,geometrical_features_only,0
237,237,79,80,colony000,52,54,gcn,52,0,2756,0,1.0,1.0,5,geometrical_features_only,0
238,238,102,104,colony000,103,107,gcn,102,1,10917,1,0.9998185282642228,0.9902912621359224,10,geometrical_features_only,0
239,239,137,138,colony005,23,23,gcn,23,0,506,0,1.0,1.0,5,geometrical_features_only,0
240,240,58,61,colony006,30,35,gcn,30,0,1020,0,1.0,1.0,15,geometrical_features_only,0
241,241,87,91,colony006,85,107,gcn,85,0,9010,0,1.0,1.0,20,geometrical_features_only,0
242,242,111,115,colony006,229,267,gcn,206,23,60891,23,0.9992476653091932,0.8995633187772926,20,geometrical_features_only,0
243,243,93,96,colony000,76,79,gcn,76,0,5928,0,1.0,1.0,15,geometrical_features_only,0
244,244,76,80,colony006,60,70,gcn,58,2,4138,2,0.9990476190476192,0.9666666666666668,20,geometrical_features_only,0
245,245,35,38,colony005,6,6,gcn,6,0,30,0,1.0,1.0,15,geometrical_features_only,0
246,246,17,21,colony005,3,3,gcn,3,0,6,0,1.0,1.0,20,geometrical_features_only,0
247,247,57,58,colony000,23,24,gcn,23,0,529,0,1.0,1.0,5,geometrical_features_only,0
248,248,51,54,colony005,8,8,gcn,8,0,56,0,1.0,1.0,15,geometrical_features_only,0
249,249,62,65,colony005,8,9,gcn,8,0,64,0,1.0,1.0,15,geometrical_features_only,0
250,250,56,60,colony005,8,8,gcn,8,0,56,0,1.0,1.0,20,geometrical_features_only,0
251,251,31,32,colony005,5,5,gcn,5,0,20,0,1.0,1.0,5,geometrical_features_only,0
252,252,18,20,colony000,6,7,gcn,6,0,36,0,1.0,1.0,10,geometrical_features_only,0
253,253,81,85,colony005,10,10,gcn,10,0,90,0,1.0,1.0,20,geometrical_features_only,0
254,254,116,118,colony000,154,165,gcn,152,2,25256,0,0.9999212908303816,0.9934640522875816,10,geometrical_features_only,0
255,255,74,75,colony000,44,44,gcn,43,1,1892,0,0.9994834710743802,0.9885057471264368,5,geometrical_features_only,0
256,256,75,76,colony006,57,60,gcn,57,0,3363,0,1.0,1.0,5,geometrical_features_only,0
257,257,170,172,colony005,36,36,gcn,36,0,1260,0,1.0,1.0,10,geometrical_features_only,0
258,258,86,89,colony005,10,11,gcn,10,0,100,0,1.0,1.0,15,geometrical_features_only,0
259,259,116,117,colony005,17,18,gcn,17,0,289,0,1.0,1.0,5,geometrical_features_only,0
260,260,1,2,colony000,4,4,gcn,4,0,12,0,1.0,1.0,5,geometrical_features_only,0
261,261,47,50,colony005,7,8,gcn,7,0,49,0,1.0,1.0,15,geometrical_features_only,0
262,262,23,26,colony005,4,4,gcn,4,0,12,0,1.0,1.0,15,geometrical_features_only,0
263,263,49,52,colony005,8,8,gcn,8,0,56,0,1.0,1.0,15,geometrical_features_only,0
264,264,81,82,colony006,72,74,gcn,72,0,5256,0,1.0,1.0,5,geometrical_features_only,0
265,265,142,145,colony005,24,24,gcn,24,0,552,0,1.0,1.0,15,geometrical_features_only,0
266,266,23,25,colony000,8,8,gcn,8,0,56,0,1.0,1.0,10,geometrical_features_only,0
267,267,62,65,colony006,36,42,gcn,36,0,1476,0,1.0,1.0,15,geometrical_features_only,0
268,268,110,114,colony005,14,15,gcn,14,0,196,0,1.0,1.0,20,geometrical_features_only,0
